,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,10.0,5.521438719206164,5.2356644085105835,1.0,4,0,0.21999999999999997,1.0,47.34902069925997
1,6.0,1.3149577772709216,1.0280847406990974,1.0,3,0,,,
2,5.0,1.1541832500650067,1.0082292856262427,1.0,3,0,,,
3,8.0,3.6943851122685967,3.312722852158144,1.0,3,0,,,
4,6.0,1.292861810423394,1.0295027395503353,1.0,3,0,,,
5,6.0,1.913871822112152,1.3373533111982834,1.0,2,0,,,
6,7.0,2.3388453568598244,2.0380386316013204,1.0,5,0,,,
7,8.0,3.403978701143605,3.0628320718489497,1.0,2,0,,,
8,8.0,3.293253151613918,3.0266884257741284,1.0,3,0,,,
9,7.0,2.522905020481033,2.0738099585483716,1.0,3,0,,,
10,6.0,1.3213277919481354,1.034987949168871,1.0,4,0,,,
11,10.0,5.253755751536436,5.043679408980378,1.0,5,0,,,
12,8.0,3.361923542054097,3.0500351649566273,1.0,6,0,,,
13,7.0,2.2524419076863293,2.038014789344349,1.0,4,0,,,
14,7.0,2.3770148664137523,2.0499421457667433,1.0,2,0,,,
15,8.0,3.446277763485236,3.06110561570043,1.0,2,0,,,
16,6.0,1.3073478030613725,1.0276821329775907,1.0,2,0,,,
17,7.0,2.53657727113863,2.105396454364582,1.0,6,0,,,
18,8.0,3.329316171345084,3.039328075130292,1.0,5,0,,,
19,9.0,4.402989579121962,4.0629834242866725,1.0,4,0,,,
20,5.0,1.1465548509139436,1.010586801905082,1.0,2,0,,,
21,7.0,2.375474457454563,2.044077233887766,1.0,5,0,,,
22,7.0,2.713608116252044,2.287969399330599,1.0,3,0,,,
23,7.0,2.4617445832247595,2.0940918757647156,1.0,3,0,,,
24,8.0,3.4369123032352342,3.1548274999327766,1.0,3,0,,,
25,5.0,1.1905926329061347,1.0167465622382645,1.0,4,0,,,
26,6.0,1.3361977420292075,1.041449160660671,1.0,3,0,,,
27,6.0,1.3962503733475113,1.0724305191912964,1.0,2,0,,,
28,8.0,3.443541417139851,3.1497298880146625,1.0,1,0,,,
29,8.0,3.1470730217014786,3.0064812533851,1.0,4,0,,,
30,7.0,2.539905029522637,2.1996922006580917,1.0,4,0,,,
31,7.0,2.613891934802462,2.1313091044002577,1.0,3,0,,,
32,6.0,1.2903786612434118,1.0306351333104389,1.0,3,0,,,
33,9.0,4.630422535130488,4.245412461432337,1.0,2,0,,,
34,9.0,4.390716226378127,4.111507515765737,1.0,5,0,,,
35,6.0,1.7377707077291284,1.2076540830859366,1.0,3,0,,,
36,8.0,3.62352435054928,3.163877901215841,1.0,4,0,,,
37,7.0,2.2690557705975305,2.0287641419947415,1.0,4,0,,,
38,6.0,1.2214227657907328,1.0173510835179767,1.0,2,0,,,
39,6.0,1.2033384297371776,1.0164297335888628,1.0,3,0,,,
40,7.0,2.5137957007263947,2.0699701781934987,1.0,5,0,,,
41,8.0,3.361285662213307,3.077115802006538,1.0,3,0,,,
42,7.0,2.5285993394111115,2.095153002685536,1.0,6,0,,,
43,7.0,2.276284947123888,2.027283787985079,1.0,5,0,,,
44,7.0,2.0900130831785666,2.002401702497245,1.0,5,0,,,
45,9.0,4.564795148085641,4.209838200050609,1.0,2,0,,,
46,8.0,3.3800922946863303,3.1045112400650114,1.0,3,0,,,
47,6.0,1.2850808770301227,1.023795023019666,1.0,3,0,,,
48,6.0,1.1091772650062104,1.0031336773131352,1.0,3,0,,,
49,8.0,3.381139403732117,3.1293982743199944,1.0,4,0,,,
50,6.0,1.310621440504663,1.0333589784621278,1.0,3,0,,,
51,8.0,3.116678585923708,3.003564296548417,1.0,5,0,,,
52,7.0,2.5027965196644737,2.120615403391373,1.0,5,0,,,
53,5.0,0.3134273795993956,0.03466446892154781,0.14070514635163917,1,0,,,
54,6.0,1.2279218785408375,1.0184714360301599,1.0,3,0,,,
55,7.0,2.296683645211656,2.0340069875043065,1.0,4,0,,,
56,6.0,1.1032640630189907,1.0081482654934757,1.0,3,0,,,
57,7.0,2.3276061880289314,2.0463283139569817,1.0,4,0,,,
58,6.0,1.6441474437002261,1.204606925083246,1.0,3,0,,,
59,6.0,1.1438328882117181,1.0078914625191535,1.0,2,0,,,
60,7.0,2.3068129392958694,2.0270977759586604,1.0,5,0,,,
61,8.0,3.6238185138502668,3.1694737140828426,1.0,1,0,,,
62,6.0,1.3225811203132019,1.0343613883141887,1.0,3,0,,,
63,9.0,4.154658273640958,4.005435449828644,1.0,4,0,,,
64,7.0,2.4505647393210035,2.0600481613390587,1.0,5,0,,,
65,10.0,5.724903157875426,5.196644444473563,1.0,0,0,,,
66,7.0,2.4918873385376354,2.084045695463172,1.0,5,0,,,
67,9.0,4.051459678230681,4.0010182921775375,1.0,4,0,,,
68,8.0,3.5888549317304634,3.1843614186360303,1.0,3,0,,,
69,7.0,2.332179841560245,2.0496135087571283,1.0,6,0,,,
70,6.0,1.4170191597219024,1.1050336589944203,1.0,2,0,,,
71,6.0,1.1971742711488305,1.015658660121771,1.0,3,0,,,
72,7.0,2.297643909713655,2.032466297233776,1.0,5,0,,,
